região,valor (%),termo,período
Acre,100,Eficiência Energética,1 ano
Piauí,85,Eficiência Energética,1 ano
Amazonas,70,Eficiência Energética,1 ano
Rondônia,66,Eficiência Energética,1 ano
Espírito Santo,62,Eficiência Energética,1 ano
São Paulo,61,Eficiência Energética,1 ano
Alagoas,55,Eficiência Energética,1 ano
Mato Grosso,55,Eficiência Energética,1 ano
Pernambuco,55,Eficiência Energética,1 ano
Paraíba,55,Eficiência Energética,1 ano
Maranhão,51,Eficiência Energética,1 ano
Santa Catarina,48,Eficiência Energética,1 ano
Sergipe,48,Eficiência Energética,1 ano
Pará,48,Eficiência Energética,1 ano
Rio Grande do Norte,44,Eficiência Energética,1 ano
Bahia,44,Eficiência Energética,1 ano
Minas Gerais,44,Eficiência Energética,1 ano
Goiás,40,Eficiência Energética,1 ano
Federal District,40,Eficiência Energética,1 ano
Rio Grande do Sul,37,Eficiência Energética,1 ano
Rio de Janeiro,37,Eficiência Energética,1 ano
Ceará,37,Eficiência Energética,1 ano
Mato Grosso do Sul,35,Eficiência Energética,1 ano
Paraná,35,Eficiência Energética,1 ano
Amapá,100,Energia Elétrica,1 ano
Acre,94,Energia Elétrica,1 ano
Tocantins,86,Energia Elétrica,1 ano
Piauí,85,Energia Elétrica,1 ano
Amazonas,78,Energia Elétrica,1 ano
Maranhão,78,Energia Elétrica,1 ano
Roraima,77,Energia Elétrica,1 ano
Rondônia,71,Energia Elétrica,1 ano
Mato Grosso do Sul,71,Energia Elétrica,1 ano
Bahia,70,Energia Elétrica,1 ano
Pará,69,Energia Elétrica,1 ano
Rio Grande do Norte,64,Energia Elétrica,1 ano
Espírito Santo,64,Energia Elétrica,1 ano
Sergipe,59,Energia Elétrica,1 ano
Paraíba,59,Energia Elétrica,1 ano
Goiás,58,Energia Elétrica,1 ano
Pernambuco,57,Energia Elétrica,1 ano
Alagoas,57,Energia Elétrica,1 ano
Rio Grande do Sul,57,Energia Elétrica,1 ano
Mato Grosso,56,Energia Elétrica,1 ano
São Paulo,55,Energia Elétrica,1 ano
Federal District,53,Energia Elétrica,1 ano
Minas Gerais,53,Energia Elétrica,1 ano
Ceará,52,Energia Elétrica,1 ano
Rio de Janeiro,49,Energia Elétrica,1 ano
Paraná,47,Energia Elétrica,1 ano
Santa Catarina,47,Energia Elétrica,1 ano
Rio Grande do Norte,100,Energia Eólica,1 ano
Acre,72,Energia Eólica,1 ano
Piauí,59,Energia Eólica,1 ano
Amapá,56,Energia Eólica,1 ano
Tocantins,56,Energia Eólica,1 ano
Maranhão,56,Energia Eólica,1 ano
Paraíba,53,Energia Eólica,1 ano
Bahia,51,Energia Eólica,1 ano
Roraima,50,Energia Eólica,1 ano
Alagoas,48,Energia Eólica,1 ano
Sergipe,47,Energia Eólica,1 ano
Ceará,47,Energia Eólica,1 ano
Pernambuco,43,Energia Eólica,1 ano
Espírito Santo,42,Energia Eólica,1 ano
Amazonas,42,Energia Eólica,1 ano
Pará,40,Energia Eólica,1 ano
Mato Grosso do Sul,35,Energia Eólica,1 ano
Goiás,33,Energia Eólica,1 ano
Rondônia,32,Energia Eólica,1 ano
Minas Gerais,30,Energia Eólica,1 ano
Santa Catarina,29,Energia Eólica,1 ano
Rio Grande do Sul,27,Energia Eólica,1 ano
Rio de Janeiro,26,Energia Eólica,1 ano
Mato Grosso,24,Energia Eólica,1 ano
São Paulo,24,Energia Eólica,1 ano
Paraná,22,Energia Eólica,1 ano
Federal District,21,Energia Eólica,1 ano
Mato Grosso,100,Energia Solar,1 ano
Mato Grosso do Sul,95,Energia Solar,1 ano
Piauí,87,Energia Solar,1 ano
Rio Grande do Norte,79,Energia Solar,1 ano
Tocantins,76,Energia Solar,1 ano
Rondônia,74,Energia Solar,1 ano
Roraima,72,Energia Solar,1 ano
Amapá,69,Energia Solar,1 ano
Pará,68,Energia Solar,1 ano
Bahia,68,Energia Solar,1 ano
Espírito Santo,65,Energia Solar,1 ano
Goiás,65,Energia Solar,1 ano
Pernambuco,65,Energia Solar,1 ano
Acre,59,Energia Solar,1 ano
Ceará,59,Energia Solar,1 ano
Alagoas,58,Energia Solar,1 ano
Minas Gerais,54,Energia Solar,1 ano
Rio Grande do Sul,50,Energia Solar,1 ano
Maranhão,50,Energia Solar,1 ano
Paraná,49,Energia Solar,1 ano
Sergipe,47,Energia Solar,1 ano
Santa Catarina,47,Energia Solar,1 ano
Paraíba,46,Energia Solar,1 ano
São Paulo,44,Energia Solar,1 ano
Amazonas,40,Energia Solar,1 ano
Rio de Janeiro,38,Energia Solar,1 ano
Federal District,37,Energia Solar,1 ano
