termo,título,link,valor (%),período
Eficiência Energética,Internet of things,https://trends.google.com/trends/explore?q=/m/02vnd10&date=today+12-m&geo=BR,5000,1 ano
Eficiência Energética,Artificial,https://trends.google.com/trends/explore?q=/g/11c0q_9fcc&date=today+12-m&geo=BR,5000,1 ano
Eficiência Energética,Energy economics,https://trends.google.com/trends/explore?q=/m/0183mn&date=today+12-m&geo=BR,5000,1 ano
Eficiência Energética,Data analysis,https://trends.google.com/trends/explore?q=/m/07zy4y&date=today+12-m&geo=BR,5000,1 ano
Eficiência Energética,Urbanization,https://trends.google.com/trends/explore?q=/m/0fk01&date=today+12-m&geo=BR,5000,1 ano
Eficiência Energética,scope,https://trends.google.com/trends/explore?q=/g/122mkxk0&date=today+12-m&geo=BR,5000,1 ano
Eficiência Energética,Context,https://trends.google.com/trends/explore?q=/g/121gpt_b&date=today+12-m&geo=BR,1100,1 ano
Eficiência Energética,Smart city,https://trends.google.com/trends/explore?q=/m/09g9zkw&date=today+12-m&geo=BR,950,1 ano
Eficiência Energética,Dimension,https://trends.google.com/trends/explore?q=/m/02bht&date=today+12-m&geo=BR,800,1 ano
Eficiência Energética,Environmental issues,https://trends.google.com/trends/explore?q=/m/064msgg&date=today+12-m&geo=BR,600,1 ano
Eficiência Energética,List,https://trends.google.com/trends/explore?q=/m/01dlmc&date=today+12-m&geo=BR,550,1 ano
Eficiência Energética,Due,https://trends.google.com/trends/explore?q=/g/11tff8zjg2&date=today+12-m&geo=BR,400,1 ano
Eficiência Energética,Solar panel,https://trends.google.com/trends/explore?q=/g/120hz4cg&date=today+12-m&geo=BR,350,1 ano
Eficiência Energética,Agriculture,https://trends.google.com/trends/explore?q=/m/0hkf&date=today+12-m&geo=BR,300,1 ano
Eficiência Energética,Seal,https://trends.google.com/trends/explore?q=/m/09hqy&date=today+12-m&geo=BR,250,1 ano
Eficiência Energética,Cold,https://trends.google.com/trends/explore?q=/m/04mwwgd&date=today+12-m&geo=BR,250,1 ano
Eficiência Energética,Future,https://trends.google.com/trends/explore?q=/m/015n_w&date=today+12-m&geo=BR,250,1 ano
Eficiência Energética,March,https://trends.google.com/trends/explore?q=/m/04wzr&date=today+12-m&geo=BR,200,1 ano
Eficiência Energética,Understanding,https://trends.google.com/trends/explore?q=/m/01fndy&date=today+12-m&geo=BR,190,1 ano
Eficiência Energética,Refrigeration,https://trends.google.com/trends/explore?q=/m/0cjbx&date=today+12-m&geo=BR,190,1 ano
Eficiência Energética,Adman,https://trends.google.com/trends/explore?q=/g/1221y0k5&date=today+12-m&geo=BR,190,1 ano
Eficiência Energética,Safety,https://trends.google.com/trends/explore?q=/m/01lh7h&date=today+12-m&geo=BR,180,1 ano
Energia Elétrica,Power outage,https://trends.google.com/trends/explore?q=/m/01rbhn&date=today+12-m&geo=BR,190,1 ano
Energia Elétrica,Due,https://trends.google.com/trends/explore?q=/g/11tff8zjg2&date=today+12-m&geo=BR,110,1 ano
Energia Elétrica,Energy consumption,https://trends.google.com/trends/explore?q=/m/0118vm2f&date=today+12-m&geo=BR,110,1 ano
Energia Elétrica,Particle,https://trends.google.com/trends/explore?q=/m/0gfgmr9&date=today+12-m&geo=BR,50,1 ano
Energia Elétrica,Equatorial Energia SA,https://trends.google.com/trends/explore?q=/g/1269nxfgz&date=today+12-m&geo=BR,50,1 ano
Energia Elétrica,Three-phase electric power,https://trends.google.com/trends/explore?q=/m/09pf_&date=today+12-m&geo=BR,40,1 ano
Energia Eólica,Solar power,https://trends.google.com/trends/explore?q=/m/05t0ydv&date=today+12-m&geo=BR,950,1 ano
Energia Eólica,international,https://trends.google.com/trends/explore?q=/g/11rhp3qp0g&date=today+12-m&geo=BR,600,1 ano
Energia Eólica,Environmental impact of wind power,https://trends.google.com/trends/explore?q=/m/0118hzlm&date=today+12-m&geo=BR,550,1 ano
Energia Eólica,Sustainable energy,https://trends.google.com/trends/explore?q=/m/04243b&date=today+12-m&geo=BR,180,1 ano
Energia Eólica,Atmosphere of Earth,https://trends.google.com/trends/explore?q=/m/01ctry&date=today+12-m&geo=BR,170,1 ano
Energia Eólica,Due,https://trends.google.com/trends/explore?q=/g/11tff8zjg2&date=today+12-m&geo=BR,120,1 ano
Energia Eólica,Solar panel,https://trends.google.com/trends/explore?q=/g/120hz4cg&date=today+12-m&geo=BR,110,1 ano
Energia Eólica,Equipment,https://trends.google.com/trends/explore?q=/g/1232v3zw&date=today+12-m&geo=BR,90,1 ano
Energia Eólica,Efficiency,https://trends.google.com/trends/explore?q=/m/0119nfsk&date=today+12-m&geo=BR,60,1 ano
Energia Eólica,Hydroelectricity,https://trends.google.com/trends/explore?q=/m/021m_w&date=today+12-m&geo=BR,60,1 ano
Energia Eólica,alternative energy,https://trends.google.com/trends/explore?q=/g/1219y28r&date=today+12-m&geo=BR,60,1 ano
Energia Eólica,Wind turbine,https://trends.google.com/trends/explore?q=/m/01d2_z&date=today+12-m&geo=BR,60,1 ano
Energia Eólica,Turbine,https://trends.google.com/trends/explore?q=/m/07l5g&date=today+12-m&geo=BR,60,1 ano
Energia Eólica,Deforestation,https://trends.google.com/trends/explore?q=/m/02875&date=today+12-m&geo=BR,50,1 ano
Energia Eólica,Carbon dioxide,https://trends.google.com/trends/explore?q=/m/01s7k&date=today+12-m&geo=BR,50,1 ano
Energia Eólica,Ethanol,https://trends.google.com/trends/explore?q=/m/02qvz&date=today+12-m&geo=BR,50,1 ano
Energia Eólica,Kinetic energy,https://trends.google.com/trends/explore?q=/m/04f0v&date=today+12-m&geo=BR,50,1 ano
Energia Solar,Solar power,https://trends.google.com/trends/explore?q=/m/05t0ydv&date=today+12-m&geo=BR,1650,1 ano
Energia Solar,Kilowatt,https://trends.google.com/trends/explore?q=/g/120ylmh4&date=today+12-m&geo=BR,200,1 ano
Energia Solar,Power bank,https://trends.google.com/trends/explore?q=/g/11c3rq9pqp&date=today+12-m&geo=BR,90,1 ano
Energia Solar,Expense,https://trends.google.com/trends/explore?q=/m/01n9ps&date=today+12-m&geo=BR,70,1 ano
Energia Solar,WEG Australia Pty Ltd,https://trends.google.com/trends/explore?q=/g/11bc67k8ws&date=today+12-m&geo=BR,70,1 ano
Energia Solar,Solar panel,https://trends.google.com/trends/explore?q=/g/120hz4cg&date=today+12-m&geo=BR,60,1 ano
Energia Solar,Cooperative,https://trends.google.com/trends/explore?q=/m/0m98y&date=today+12-m&geo=BR,60,1 ano
Energia Solar,Electric generator,https://trends.google.com/trends/explore?q=/m/0l4dz&date=today+12-m&geo=BR,60,1 ano
Energia Solar,Electric battery,https://trends.google.com/trends/explore?q=/m/01c0z&date=today+12-m&geo=BR,60,1 ano
Energia Solar,Kilowatt hour,https://trends.google.com/trends/explore?q=/m/018lqb&date=today+12-m&geo=BR,50,1 ano
Energia Solar,Companhia de Eletricidade do Estado da Bahia COELBA,https://trends.google.com/trends/explore?q=/g/12q4_21zm&date=today+12-m&geo=BR,50,1 ano
Energia Solar,Nominal power,https://trends.google.com/trends/explore?q=/m/03nps1l&date=today+12-m&geo=BR,50,1 ano
Energia Solar,CEMIG,https://trends.google.com/trends/explore?q=/m/0656_j&date=today+12-m&geo=BR,40,1 ano
Energia Solar,Energisa SA,https://trends.google.com/trends/explore?q=/m/0cqhm9m&date=today+12-m&geo=BR,40,1 ano
